name,producer,year,alcoholPercentage,volume,price,country,region,district,type,categoryTaste,usage,taste,tasteBitter,tasteSweetness,tasteFruitAcid,tasteBody,tasteRoughness,url,imageURL,grapes
"Tenuta di Castellaro Bianco Porticello, Tenuta di Castellaro",Tenuta di Castellaro Srl,2018,12.5,750.0,199.0,Italy,Sicily,Sicilian Terre,White wine,Grape & Floral,Served at 8-10 ° C as a companion drink or with dishes of seafood.,"Floral, fruity taste with hints of pear, white flowers, minerals, herbs and citrus.",0.0%,8.333333333333332%,75.0%,41.6666666666666767%,0.0%,https://www.systembolaget.se/produkt/vin/tenuta-di-castellaro-bianco-porticello-9502401,https://sb-product-media-prod.azureedge.net/productimages/24477044/24477044,Carricante --- White Muscat
Moulin Touchais,Touchais,2002,13.0,750.0,279.0,France,Loire Valley,Anjou-Saumur,White wine,Sweet,Served at 8-10 ° C for fruit desserts and for blue mold cheeses.,"Developed, very fresh, sweet taste with hints of yellow plums, beeswax, dried apricots, almond paste and citrus jam.",0.0%,75.0%,83.33333333333334%,66.666666666666666%,0.0%,https://www.systembolaget.se/produkt/vin/moulin-touchais-419601,https://product-cdn.systembolaget.se/productimages/34666/34666,Chenin blanc
"Saint-Véran, Domaine de la Croix Senaillet",Richard & Stéphane Martin,2018,13.0,750.0,159.0,France,Burgundy,Mâconnais,White wine,Fresh & Fruity,"Served at 8-10 ° C with fish, chicken or seafood dishes.","Nuanced, fruity, very fresh taste with hints of yellow pears, minerals, herbs, beeswax, apples, butter, galia melon and lemon.",0.0%,8.333333333333332%,83.33333333333334%,41.6666666666666767%,0.0%,https://www.systembolaget.se/produkt/vin/saint-véran-522201,https://product-cdn.systembolaget.se/productimages/855427/855427,Chardonnay
"Tavernello Organic, Sangiovese",Caviro,2019,12.5,750.0,69.0,Italy,Emilia-Romagna,Rubicone,Red wine,Soft & Berry,"Served at about 16 ° C with light meat, or with vegetarian dishes.","Berry taste with hints of raspberries, blueberries, herbs, cherries and licorice.",0.0%,0.0%,75.0%,41.6666666666666767%,41.6666666666666767%,https://www.systembolaget.se/produkt/vin/tavernello-organic-7998101,https://product-cdn.systembolaget.se/productimages/782781/782781,Sangiovese
"Barbera d'Alba, Superiore",GD Vajra,2018,15.0,750.0,199.0,Italy,Piedmont,Barbera d'Alba,Red wine,Fruity & Tasty,Served at 16-18 ° C with lamb or beef dishes.,"Nuanced, fruity taste with barrel character, hints of dark cherries, plums, chocolate, forest raspberries, violet and vanilla.",0.0%,0.0%,83.33333333333334%,75.0%,75.0%,https://www.systembolaget.se/produkt/vin/barbera-d'alba-2307101,https://product-cdn.systembolaget.se/productimages/812451/812451,Barbera
"Di Fatto, Monferrato Rosso",Azienda Agricola Tacchino,2016,14.0,750.0,159.0,Italy,Piedmont,Monferrato,Red wine,Fruity & Tasty,Served at about 18 ° C with dark meat dishes.,"Fruity, nuanced taste with barrel character, hints of dark cherries, cocoa, black currants, coffee, black olives and herbs.",0.0%,0.0%,75.0%,75.0%,75.0%,https://www.systembolaget.se/produkt/vin/di-fatto-9118701,https://product-cdn.systembolaget.se/productimages/24491353/24491353,Albarossa --- Cabernet sauvignon --- Dolcetto --- Barbera
Gratena Chianti,Gratena Factory,2017,14.0,750.0,119.0,Italy,Tuscany,Chianti,Red wine,Spicy & Musty,"Served at about 18 ° C for lamb or beef dishes, or for vegetarian dishes.","Spicy, fruity, nuanced taste with hints of cask, cherry, cinnamon, raspberry, sage and milk chocolate.",0.0%,0.0%,75.0%,50.0%,50.0%,https://www.systembolaget.se/produkt/vin/gratena-chianti-271701,https://product-cdn.systembolaget.se/productimages/713614/713614,Sangiovese
"Bergstein, Riesling Sauvignon Blanc",The winemaker,2019,12.0,750.0,79.0,Germany,Palatinate,,White wine,Fresh & Fruity,"Served at 8-10 ° C as an aperitif, or with seafood dishes or salads.","Aromatic, youthful, very fresh taste with hints of pear, green apples, blackcurrant leaves, herbs and lime.",0.0%,8.333333333333332%,83.33333333333334%,25.0%,0.0%,https://www.systembolaget.se/produkt/vin/bergstein-680701,https://product-cdn.systembolaget.se/productimages/21102216/21102216,Riesling --- Sauvignon blanc
"Araldica Barolo, Flori",Araldica Vini Piemontesi,2015,14.0,750.0,179.0,Italy,Piedmont,Barolo,Red wine,Tight & Nuanced,Served at about 18 ° C with dark meat dishes.,"Spicy, nuanced taste with hints of cask, dried cherries, cinnamon, bergamot, rosehips, bay leaves, nuts and strawberries.",0.0%,0.0%,83.33333333333334%,66.666666666666666%,83.33333333333334%,https://www.systembolaget.se/produkt/vin/araldica-barolo-7040101,https://product-cdn.systembolaget.se/productimages/593915/593915,Nebbiolo
"Palesa, Sauvignon Blanc",uniWines Marketing,2019,12.5,3000.0,249.0,South Africa,Western Cape,Breede River Valley,White wine,Fresh & Fruity,Served at 8-10 ° C with seafood dishes.,"Fruity, slightly aromatic, youthful, very fresh taste with hints of pear, herbs, gooseberries, blackcurrant leaves and lime.",0.0%,8.333333333333332%,83.33333333333334%,25.0%,0.0%,https://www.systembolaget.se/produkt/vin/palesa-1273408,https://product-cdn.systembolaget.se/productimages/14214020/14214020,White Sauvignon
"Dr. L Riesling Cabinet, Old Vines",Dr. Loosen,2018,8.5,750.0,119.0,Germany,Moselle,,White wine,Fresh & Fruity,"Served at about 8 ° C as an aperitif or for light dishes of seafood, preferably with Asian elements.","Nuanced, very fresh taste with sweetness, hints of pear, honey, white flowers, lime and minerals.",0.0%,50.0%,83.33333333333334%,33.33333333333333%,0.0%,https://www.systembolaget.se/produkt/vin/dr-l-riesling-kabinett-536901,https://product-cdn.systembolaget.se/productimages/675022/675022,Riesling
"Girard, Old Vine Zinfandel",Girard,2017,15.0,750.0,215.0,USA,California,North Coast,Red wine,Fruity & Tasty,"Served at 16-18 ° C with tasty, preferably grilled dishes of lamb or beef.","Generously fruity taste with a clear barrel character, hints of blackberries, blueberries, mint, coconut, chocolate, pepper and vanilla.",0.0%,0.0%,75.0%,83.33333333333334%,66.666666666666666%,https://www.systembolaget.se/produkt/vin/girard-2233701,https://product-cdn.systembolaget.se/productimages/621276/621276,Zinfandel
"Von Winning, Forster Ungeheuer GG Riesling Trocken",Von Winning,2018,13.0,750.0,369.0,Germany,Palatinate,,White wine,Fresh & Fruity,"Served at 10-12 ° C with dishes of poultry, fish or seafood.","Complex, aromatic, very fresh taste with hints of yellow apples, peach, smoky mineral, dried pineapple, spices and orange peel.",0.0%,8.333333333333332%,83.33333333333334%,50.0%,0.0%,https://www.systembolaget.se/produkt/vin/von-winning-9208801,https://sb-product-media-prod.azureedge.net/productimages/24451952/24451952,Riesling
"Mullineux, Old Vines White",Mullineux Family Wines,2019,14.0,750.0,199.0,South Africa,Western Cape,Coastal Region,White wine,Full-bodied & Tasty,"Served at 10-12 ° C for tasty dishes of fish, or for dishes of light meat."," Nuanced, fruity taste with barrel character, hints of yellow pears, cardamom, peach, browned butter, vanilla, nuts and orange peel.",0.0%,8.333333333333332%,75.0%,58.333333333333336%,0.0%,https://www.systembolaget.se/produkt/vin/mullineux-9613501,https://product-cdn.systembolaget.se/productimages/24385972/24385972,White Chenin --- Macabeo --- Semillon --- Clairette --- White Grenache
"Provam, Alvarinho",PROVAM,2019,13.0,750.0,96.0,Portugal,Vinho Verde,,White wine,Fresh & Fruity,"Served at 8-10 ° C with fish or seafood dishes, or with salads.","Fruity, youthful taste with hints of pear, peach, honeydew melon, lime and elderberry.",0.0%,8.333333333333332%,75.0%,33.33333333333333%,0.0%,https://www.systembolaget.se/produkt/vin/provam-642501,https://product-cdn.systembolaget.se/productimages/8109870/8109870,Alvarinho
"Zarate, Albariño",Bodegas Zarate,2019,13.0,750.0,179.0,Spain,Galicia,Rías Baixas,White wine,Fresh & Fruity,"Served at 8-10 ° C with vegetarian dishes, or with seafood dishes.","Fruity, very fresh taste with hints of yellow pear, mineral, beeswax, gala melon, herbs, nectarine and grapefruit.",0.0%,8.333333333333332%,83.33333333333334%,41.6666666666666767%,0.0%,https://www.systembolaget.se/produkt/vin/zarate-9229601,https://sb-product-media-prod.azureedge.net/productimages/24478008/24478008,Albariño
"Viña Pedrosa, Crianza",Bodegas Hnos Pérez Pascuas,2017,14.5,750.0,189.0,Spain,Castile-Leon,Ribera del Duero,Red wine,Tight & Nuanced,Served at about 18 ° C with dark meat dishes.,"Nuanced, spicy taste with a clear character of roasted oak barrels, hints of dark cherries, plums, cocoa, coffee, coconut and vanilla.",0.0%,0.0%,83.33333333333334%,83.33333333333334%,83.33333333333334%,https://www.systembolaget.se/produkt/vin/viña-pedrosa-214901,https://product-cdn.systembolaget.se/productimages/903619/903619,Tempranillo
"Brigaldara, Ripasso Superiore",Brigaldara,2018,14.5,750.0,139.0,Italy,Veneto,Valpolicella,Red wine,Spicy & Musty,Served at 16-18 ° C with lamb or beef dishes.,"Spicy taste with hints of cask, dried cherries, cinnamon, vanilla, raspberries and allspice.",0.0%,0.0%,83.33333333333334%,66.666666666666666%,66.666666666666666%,https://www.systembolaget.se/produkt/vin/brigaldara-7909701,https://product-cdn.systembolaget.se/productimages/1173555/1173555,Rondinella --- Corvina --- Molinara
"Bouchard Aîné & Fils, Meursault Clos du Cromin",Bouchard Aîné et Fils,2018,13.0,750.0,399.0,France,Burgundy,Côte de Beaune,White wine,Full-bodied & Tasty,"Served at 10-12 ° C for dishes of poultry, pork or lamb or for tasty dishes of fish.","Nuanced, very fresh taste with roasted barrel character, hints of yellow apples, minerals, browned butter, cardamom, nougat, pineapple and citrus.",0.0%,8.333333333333332%,83.33333333333334%,58.333333333333336%,0.0%,https://www.systembolaget.se/produkt/vin/bouchard-aîné-&-fils-255601,https://sb-product-media-prod.azureedge.net/productimages/24481949/24481949,Chardonnay
"Satellite, Sauvignon Blanc",Johnson Estate,2019,12.3,750.0,95.0,New Zealand,Marlborough,,White wine,Fresh & Fruity,Served at about 8 ° C as an aperitif or with seafood dishes.,"Aromatic, very fresh taste with hints of pear, passion fruit, nettles, nectarine and lime.",0.0%,8.333333333333332%,83.33333333333334%,25.0%,0.0%,https://www.systembolaget.se/produkt/vin/satellite-620001,https://product-cdn.systembolaget.se/productimages/551318/551318,White Sauvignon
"Millesimato contract, Pas Dosé",La Spinetta,2014,12.5,750.0,219.0,Italy,,,Sparkling wine,Dry white,"Served at 8-10 ° C as an aperitif or with fish or light meat dishes, or with tasty vegetarian dishes.","Developed, nuanced, very fresh taste with hints of yellow apples, oranges, nuts, toast and dried apricots.",0.0%,8.333333333333332%,83.33333333333334%,58.333333333333336%,0.0%,https://www.systembolaget.se/produkt/vin/contratto-millesimato-9265801,https://sb-product-media-prod.azureedge.net/productimages/24501739/24501739,Chardonnay --- Pinot noir
"Leclerc Briant, Champagne Rosé",Leclerc Briant,,12.0,750.0,429.0,France,Champagne,,Sparkling wine,Rosé,"Served at 8-10 ° C as an aperitif, or with seafood dishes.","Nuanced, very fresh taste with hints of strawberries, peach, light bread, nougat, minerals and blood orange.",0.0%,8.333333333333332%,83.33333333333334%,41.6666666666666767%,0.0%,https://www.systembolaget.se/produkt/vin/leclerc-briant-758301,https://product-cdn.systembolaget.se/productimages/24444756/24444756,
"Châteauneuf-du-Pape, E.Guigal",E Guigal,2016,14.5,750.0,369.0,France,Rhonedalen,Châteauneuf-du-Pape,Red wine,Spicy & Musty,"Served at about 18 ° C with dishes of lamb or beef, preferably stews and roasts.","Spicy, slightly developed taste with hints of cask, ripe strawberries, bay leaves, tobacco, raspberries, white pepper and sandalwood.",0.0%,0.0%,75.0%,75.0%,75.0%,https://www.systembolaget.se/produkt/vin/châteauneuf-du-pape-7050301,https://product-cdn.systembolaget.se/productimages/788116/788116,Grenache --- Syrah --- Mourvèdre
"Plantier Rose Castle, Cru Bourgeois",Plantier Castle,2016,13.0,375.0,129.0,France,Bordeaux,Haut-Médoc,Red wine,Tight & Nuanced,Serve at about 18 ° C with dark meat dishes.,"Nuanced, fruity taste with a clear roasted barrel character, hints of black currants, coconut, bay leaves, plums, cedar, coffee and cocoa.",0.0%,0.0%,75.0%,83.33333333333334%,75.0%,https://www.systembolaget.se/produkt/vin/château-plantier-rose-362602,https://product-cdn.systembolaget.se/productimages/1092101/1092101,Cabernet sauvignon --- Petit verdot --- Merlot
"Carta Vieja, Sauvignon Blanc",Viña Carta Vieja,2019,12.0,750.0,69.0,Chile,Valle Central,Maule,White wine,Fresh & Fruity,"Served at 8-10 ° C as an aperitif or for lighter dishes of fish or seafood, or for vegetarian dishes, preferably salads.","Youthful, very healthy, fruity taste with hints of pear, kiwi, lime, pineapple and grass.",0.0%,8.333333333333332%,83.33333333333334%,33.33333333333333%,0.0%,https://www.systembolaget.se/produkt/vin/carta-vieja-459701,https://product-cdn.systembolaget.se/productimages/731322/731322,White Sauvignon
Camino de los Arrieros,Alvar de Dios Hernandez,2018,12.5,750.0,189.0,Spain,Castile-Leon,,Red wine,Soft & Berry,"Served at about 16 ° C for light meat dishes, or for vegetarian dishes.","Berry taste with hints of raspberry, violet, lingonberry, fresh herbs, minerals, spices and blood orange peel.",0.0%,0.0%,83.33333333333334%,50.0%,50.0%,https://www.systembolaget.se/produkt/vin/camino-de-los-arrieros-9226501,https://product-cdn.systembolaget.se/productimages/24451955/24451955,Rufete --- Bastardo
Château du Cauze,Château Du Cauze,2016,14.5,750.0,199.0,France,Bordeaux,Saint-Emilion,Red wine,Tight & Nuanced,Served at about 18 ° C with dark meat dishes.,"Nuanced taste with roasted barrel character, hints of plums, currants, black currants, coffee, cocoa, cedar, herbs and vanilla.",0.0%,0.0%,75.0%,66.666666666666666%,75.0%,https://www.systembolaget.se/produkt/vin/château-du-cauze-249101,https://product-cdn.systembolaget.se/productimages/24354516/24354516,
"Roccamozzi, Chianti Governo",Barbanera SRL,2019,13.5,750.0,99.0,Italy,Tuscany,Chianti,Red wine,Spicy & Musty,Served at 16-18 ° C with lamb or beef dishes.,"Spicy, nuanced taste with hints of cask, dark cherries, basil, chocolate, raspberries and cloves.",0.0%,0.0%,75.0%,66.666666666666666%,66.666666666666666%,https://www.systembolaget.se/produkt/vin/roccamozzi-266501,https://product-cdn.systembolaget.se/productimages/2334879/2334879,Sangiovese
Ecectura Prosecco,Domaine Wines,,11.0,750.0,109.0,Italy,Veneto,Prosecco,Sparkling wine,Dry white,"Served at 8-10 ° C as an aperitif, or with light seafood dishes.","Youthful, fruity taste with hints of yellow apples, pears, peaches and citrus.",0.0%,16.66666666666666464%,75.0%,33.33333333333333%,0.0%,https://www.systembolaget.se/produkt/vin/ecoltura-prosecco-7701801,https://product-cdn.systembolaget.se/productimages/1110150/1110150,Glera
"Törley, Charming Rosé",Törley,,11.5,750.0,69.0,Hungary,,,Sparkling wine,Rosé,Served at 6-8 ° C as a companion wine.,"Berry, slightly floral taste with sweetness, hints of strawberries, roses and blood orange.",0.0%,58.333333333333336%,66.666666666666666%,33.33333333333333%,0.0%,https://www.systembolaget.se/produkt/vin/törley-771301,https://product-cdn.systembolaget.se/productimages/329065/329065,
"Tyrrell's Wines, Hunter Valley Semillon",Tyrrell's Vineyards Pty Ltd,2019,11.5,750.0,119.0,Australia,New South Wales,Hunter Valley,White wine,Fresh & Fruity,"Served at 8-10 ° C with dishes of fish, seafood or poultry.","Fruity taste with hints of green apples, yellow plums, fresh herbs, beeswax, minerals and lemon.",0.0%,8.333333333333332%,75.0%,41.6666666666666767%,0.0%,https://www.systembolaget.se/produkt/vin/tyrrell's-wines-694701,https://product-cdn.systembolaget.se/productimages/24386112/24386112,Semillon
"Wilhelmshof, Pinot Noir",Wine and sparkling wine Wilhelmshof,2018,13.0,750.0,149.0,Germany,Palatinate,,Red wine,Spicy & Musty,Served at about 16 ° C with light meat dishes.,"Nuanced, spicy taste with barrel character, hints of strawberries, nougat, cherries, herbs, raspberries, chocolate and cloves.",0.0%,0.0%,83.33333333333334%,41.6666666666666767%,33.33333333333333%,https://www.systembolaget.se/produkt/vin/wilhelmshof-2002801,https://product-cdn.systembolaget.se/productimages/19178889/19178889,Pinot noir
"Roots, Drostdy-Hof Shiraz Merlot",Drostdy Cellars,2019,13.5,3000.0,199.0,South Africa,,,Red wine,Soft & Berry,"Served at about 16 ° C with vegetarian dishes, or with light meat.","Berry taste with hints of strawberries, raspberries, peppers and herbs.",0.0%,0.0%,75.0%,41.6666666666666767%,41.6666666666666767%,https://www.systembolaget.se/produkt/vin/roots-1203808,https://product-cdn.systembolaget.se/productimages/24872/24872,Merlot --- Shiraz
Alegoria Malbec,Navarro Correas,2018,14.0,750.0,119.0,Argentina,Cuyo,Mendoza,Red wine,Fruity & Tasty,Served at about 18 ° C with grilled dishes of lamb or beef.,"Fruity, nuanced taste with barrel character, hints of blackberries, blueberries, fresh herbs, violet, black pepper, dark chocolate and cedar.",0.0%,0.0%,75.0%,75.0%,75.0%,https://www.systembolaget.se/produkt/vin/alegoria-malbec-216101,https://product-cdn.systembolaget.se/productimages/23458710/23458710,Malbec
"Dominio del Aguila, Picaro Tinto",Dominio del Aguila,2018,14.0,750.0,299.0,Spain,Castile-Leon,Ribera del Duero,Red wine,Tight & Nuanced,Served at about 18 ° C with dark meat dishes.,"Fruity, nuanced taste with barrel character, hints of plum, violet, dark cherries, cocoa, mint, black olives, cedar and coffee.",0.0%,0.0%,83.33333333333334%,83.33333333333334%,91.6666666666666666%,https://www.systembolaget.se/produkt/vin/dominio-del-aguila-9041401,https://product-cdn.systembolaget.se/productimages/24454442/24454442,Tempranillo
"Schmelz Pichl Point Grüner Veltliner Federspiel, Weingut Familie Schmelz",Winery family foundry,2019,12.5,750.0,189.0,Austria,Lower Austria,Wachau,White wine,Fresh & Fruity,"Served at 8-10 ° C with fish or seafood dishes, or with lighter vegetarian dishes.","Fruity, very fresh taste with hints of pear, honeydew melon, kiwi, white pepper and grapefruit.",0.0%,8.333333333333332%,83.33333333333334%,41.6666666666666767%,0.0%,https://www.systembolaget.se/produkt/vin/schmelz-pichl-point-grüner-veltliner-federspiel-9552101,https://product-cdn.systembolaget.se/productimages/24407681/24407681,Green roller liner
"Figli Luigi Oddero, Langhe Nebbiolo",Vigneti Luigi Oddero & Figli SSA,2018,14.5,750.0,199.0,Italy,Piedmont,Langhe,Red wine,Tight & Nuanced,Served at about 18 ° C with dark meat dishes.,"Nuanced, spicy taste with hints of cask, dried cherries, strawberries, cloves, oranges, hazelnuts, cedar, roses and black tea.",0.0%,0.0%,83.33333333333334%,66.666666666666666%,91.6666666666666666%,https://www.systembolaget.se/produkt/vin/figli-luigi-oddero-9234301,https://product-cdn.systembolaget.se/productimages/24478239/24478239,Nebbiolo
"Simonsig, Tiara",Simonsig Estate,2016,13.5,750.0,199.0,South Africa,Western Cape,Coastal Region,Red wine,Tight & Nuanced,Served at about 18 ° C with dark meat dishes.,"Nuanced, fruity taste with barrel character, hints of black currants, tobacco, plums, red peppers, cedar, coffee and vanilla.",0.0%,0.0%,75.0%,83.33333333333334%,75.0%,https://www.systembolaget.se/produkt/vin/simonsig-7994901,https://product-cdn.systembolaget.se/productimages/781868/781868,Cabernet sauvignon --- Merlot --- Cabernet franc --- Petit verdot
"Lago Ranco Sauvignon Blanc, Viña Casa Silva",Viña Casa Silva,2018,11.5,750.0,199.0,Chile,Austral Region,,White wine,Fresh & Fruity,"Served at 8-10 ° C with seafood dishes, or with sour goat cheeses.","Aromatic, fruity, very fresh taste with hints of gooseberries, blackcurrant leaves, pears, minerals, lemon and nettles.",0.0%,8.333333333333332%,83.33333333333334%,33.33333333333333%,0.0%,https://www.systembolaget.se/produkt/vin/lago-ranco-sauvignon-blanc-9518701,https://sb-product-media-prod.azureedge.net/productimages/24454652/24454652,White Sauvignon
"JP Chenet, Cabernet-Syrah",Les Grands Chais de France,2019,13.0,375.0,45.0,France,Languedoc-Roussillon,VdP d'Oc,Red wine,Soft & Berry,"Served at 14-16 ° C for light dishes of chicken or pork, or for vegetarian dishes.","Berry taste with hints of black currant, raspberry, violet and herbs.",0.0%,0.0%,75.0%,41.6666666666666767%,41.6666666666666767%,https://www.systembolaget.se/produkt/vin/jp-chenet-1280802,https://product-cdn.systembolaget.se/productimages/43233/43233,Syrah --- Cabernet sauvignon
"Assyrtiko by Gaia, Wild Ferment",Gaia,2018,13.5,750.0,279.0,Greece,Aegean Islands,Santorini,White wine,Full-bodied & Tasty,"Served at 8-10 ° C with tasty fish dishes, or with light meat.","Nuanced, fruity, very fresh taste with a clear barrel character, hints of yellow apples, nectarine, nuts, vanilla, minerals and lemon.",0.0%,8.333333333333332%,75.0%,58.333333333333336%,0.0%,https://www.systembolaget.se/produkt/vin/assyrtiko-by-gaia-9975101,https://product-cdn.systembolaget.se/productimages/1201622/1201622,Assyrtiko
"Langhe Rosso, Marchesi di Barolo",Marchesi di Barolo,2017,13.0,750.0,119.0,Italy,Piedmont,Langhe,Red wine,Fruity & Tasty,"Served at 16-18 ° C with dishes of pork, lamb and beef.","Fruity, slightly spicy taste with hints of cask, cherry, thyme, strawberries, raspberries, pepper and orange.",0.0%,0.0%,83.33333333333334%,58.333333333333336%,58.333333333333336%,https://www.systembolaget.se/produkt/vin/langhe-rosso-239901,https://product-cdn.systembolaget.se/productimages/1090838/1090838,Dolcetto --- Barbera --- Nebbiolo
"Edouard Delaunay, Beaune 1st Cru Les Grèves",Edouard Delaunay,2018,13.5,750.0,349.0,France,Burgundy,Côte de Beaune,Red wine,Spicy & Musty,"Served at about 16 ° C for dishes of fatty or wild birds, as well as for dishes of pork or lamb.","Spicy, nuanced taste with barrel character, hints of cherries, cinnamon, strawberries, sandalwood, nougat, minerals and forest raspberries.",0.0%,0.0%,83.33333333333334%,50.0%,50.0%,https://www.systembolaget.se/produkt/vin/edouard-delaunay-9030501,https://sb-product-media-prod.azureedge.net/productimages/24519644/24519644,Pinot noir
"Pouilly-Fuissé Vers Cras, Domaine Cordier",Domaine Cordier,2018,13.5,750.0,289.0,France,Burgundy,Mâconnais,White wine,Full-bodied & Tasty,"Served at 10-12 ° C for fried dishes of fish, for light meat, or for lighter dishes of lamb.","Nuanced, fruity, very fresh taste with roasted barrel character, hints of yellow apples, minerals, browned butter, nectarine, nuts, vanilla and orange.",0.0%,8.333333333333332%,83.33333333333334%,50.0%,0.0%,https://www.systembolaget.se/produkt/vin/pouilly-fuissé-vers-cras-9061301,https://sb-product-media-prod.azureedge.net/productimages/24519647/24519647,Chardonnay
Heartland One,Heartland Wines,2018,15.0,750.0,399.0,Australia,South Australia,Fleurieu,Red wine,Fruity & Tasty,Served at about 18 ° C with grilled dishes of dark meat.,"Complex, fruity aroma with roasted barrel character, hints of plums, black currants, cocoa, cedar, blackberries, hazelnuts, violet and coffee.",0.0%,0.0%,83.33333333333334%,91.6666666666666666%,91.6666666666666666%,https://www.systembolaget.se/produkt/vin/heartland-one-251101,https://sb-product-media-prod.azureedge.net/productimages/24463457/24463457,Cabernet Sauvignon --- Shiraz
"Michelle, Brut",Domaine Ste Michelle,,11.5,750.0,139.0,USA,Washington State,Columbia Valley,Sparkling wine,Dry white,Served at 8-10 ° C as an aperitif or with seafood dishes.,"Fruity, very fresh taste with hints of green apples, peach, light bread, nougat and citrus.",0.0%,16.66666666666666464%,83.33333333333334%,33.33333333333333%,0.0%,https://www.systembolaget.se/produkt/vin/michelle-793301,https://product-cdn.systembolaget.se/productimages/14074347/14074347,Pinot noir --- Chardonnay --- Pinot meunier
Gekkeikan Sake,Gekkeikan,,14.6,750.0,95.0,USA,,,Aperitif & Dessert,Sake,"Served either heated to 35-45 ° C or room temperature, preferably with sushi or other Japanese dishes, or served with ice cream as an aperitif.","Nuanced, slightly floral taste with a little sweetness, hints of gray pear, green banana and jasmine rice.",0.0%,25.0%,0.0%,33.33333333333333%,0.0%,https://www.systembolaget.se/produkt/vin/gekkeikan-sake-10401,https://product-cdn.systembolaget.se/productimages/181/181,
"Dark Side of The Moon, Shiraz",Claymore Wines,2018,14.5,375.0,119.0,Australia,South Australia,Adelaide,Red wine,Fruity & Tasty,Served at about 18 ° C with dark meat dishes.,"Nuanced, fruity taste with barrel character, hints of blackberries, black pepper, plums, eucalyptus, dark chocolate, raspberries, vanilla and coffee.",0.0%,0.0%,75.0%,83.33333333333334%,75.0%,https://www.systembolaget.se/produkt/vin/dark-side-of-the-moon-273602,https://product-cdn.systembolaget.se/productimages/19688056/19688056,Shiraz
Calcareo Coluvio,Superuco SA,2017,13.5,750.0,279.0,Argentina,Cuyo,Mendoza,Red wine,Fruity & Tasty,"Served at about 16 ° C for vegetarian dishes, or for dishes of light meat, preferably cold-cut.","Very fruity, nuanced taste with hints of dark cherries, violets, black currants, minerals and forest raspberries.",0.0%,0.0%,75.0%,58.333333333333336%,58.333333333333336%,https://www.systembolaget.se/produkt/vin/calcareo-coluvio-9208401,https://sb-product-media-prod.azureedge.net/productimages/24470292/24470292,Malbec
"Blancs Blancet Blancs, Chardonnay",Ampelidae,,12.5,750.0,119.0,France,,,Sparkling wine,Dry white,Served at 8-10 ° C as an aperitif or with seafood dishes.,"Youthful, fruity taste with hints of yellow apples, pears, toast and citrus.",0.0%,8.333333333333332%,75.0%,41.6666666666666767%,0.0%,https://www.systembolaget.se/produkt/vin/brochet-blanc-de-blancs-791901,https://product-cdn.systembolaget.se/productimages/1189233/1189233,Chardonnay
"Vidigal, Vinho Verde",Caves Vidigal,2018,9.5,750.0,75.0,Portugal,Vinho Verde,,White wine,Fresh & Fruity,"Served at 6-8 ° C as a companion drink, or with lighter dishes of fish or seafood, preferably salads.","Fruity, youthful, pearly wine with hints of pear, honeydew melon and lime.",0.0%,8.333333333333332%,75.0%,25.0%,0.0%,https://www.systembolaget.se/produkt/vin/vidigal-264501,https://product-cdn.systembolaget.se/productimages/834147/834147,Loureiro --- Trajadura --- Arinto
"Gattinara, Franchino Mauro",Franchino Mauro,2015,13.5,750.0,295.0,Italy,Piedmont,Gattinara,Red wine,Tight & Nuanced,Served at about 18 ° C with dark meat.,"Complex, spicy taste with hints of cask, dried cherries, sage, nougat, orange, black tea, cinnamon and roses.",0.0%,0.0%,83.33333333333334%,75.0%,83.33333333333334%,https://www.systembolaget.se/produkt/vin/gattinara-9008901,https://sb-product-media-prod.azureedge.net/productimages/24512131/24512131,Nebbiolo
"Geoff Merrill, Reserve Cabernet Sauvignon",Geoff Merrill,2011,14.5,750.0,199.0,Australia,South Australia,Limestone Coast,Red wine,Fruity & Tasty,Served at about 18 ° C with dark meat dishes.,"Developed, nuanced taste with a clear barrel character, hints of black currants, prunes, orange, dark chocolate, tobacco and cardamom.",0.0%,0.0%,75.0%,75.0%,75.0%,https://www.systembolaget.se/produkt/vin/geoff-merrill-628501,https://product-cdn.systembolaget.se/productimages/7555279/7555279,Cabernet sauvignon
"Brunello di Montalcino, Fattoi",Fattoi Ofelio & Figli Soc. Sempl. - Soc. Agr.,2015,14.0,750.0,249.0,Italy,Tuscany,Brunello di Montalcino,Red wine,Tight & Nuanced,Served at about 18 ° C with dark meat dishes.,"Spicy, balanced, slightly developed taste with barrel character, hints of dark cherries, cinnamon, forest raspberries, orange, cocoa and tobacco.",0.0%,0.0%,83.33333333333334%,83.33333333333334%,83.33333333333334%,https://www.systembolaget.se/produkt/vin/brunello-di-montalcino-309701,https://product-cdn.systembolaget.se/productimages/777770/777770,Sangiovese
"Domain Wachau, Riesling Emerald Ried Loibenberg",Domain Wachau,2018,13.5,750.0,200.0,Austria,Lower Austria,Wachau,White wine,Fresh & Fruity,Served at 8-10 ° C as an aperitif or with seafood dishes.,"Nuanced, aromatic, very fresh taste with hints of green apples, minerals, gooseberries, gray pears, lime and honeydew melon.",0.0%,8.333333333333332%,83.33333333333334%,41.6666666666666767%,0.0%,https://www.systembolaget.se/produkt/vin/domäne-wachau-602101,https://product-cdn.systembolaget.se/productimages/24396478/24396478,Riesling
